Tempo: 30 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 50 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 3090 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 4090 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 8090 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 9090 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 12110 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 13110 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 17110 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 18110 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 21130 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 22130 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 26130 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 27130 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 30150 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 31150 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 35150 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 36150 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 39170 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 40170 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 44170 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 45170 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 48190 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 49190 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 53190 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 54190 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 57210 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 58210 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 62210 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 63210 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 66230 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 67230 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 71230 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 72230 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 75250 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 76250 ns, Transição para -> Carros: 100, Pedestres: 001
